ID,Título,CIE 9,Información,Normativa,SNOMED,Ancestro
3.b.2.2.31,Bacteriológico de secreciones traqueales,,,,,3.b.2.2.31
3.b.2.2.32,Bacteriológico de tejidos y biopsias,,,,,3.b.2.2.32
3.b.2.2.33,Bacteriológico de úlcera,,,,,3.b.2.2.33
3.b.2.2.34,Bacteriuria cuantitativa,,,,,3.b.2.2.34
3.b.2.2.35,Barbitúricos en orina,,,,,3.b.2.2.35
3.b.2.2.36,"Bence-Jones, proteínas de",,,,,3.b.2.2.36
3.b.2.2.37,Benzodiazepina en orina,,,,,3.b.2.2.37
3.b.2.2.38,Benzodiazepina en suero,,,,,3.b.2.2.38
3.b.2.2.39,B2 microglobulina en orina,,,,,3.b.2.2.39
3.b.2.2.40,B2 microglobulina en suero,,,,,3.b.2.2.40
3.b.2.2.41,Beta HCG en orina,,,,,3.b.2.2.41
3.b.2.2.42,Beta HCG en suero,,,,,3.b.2.2.42
3.b.2.2.43,Beta HCG cualitativa,,,,,3.b.2.2.43
3.b.2.2.44,Beta HCG cuantitativa,,,,,3.b.2.2.44
3.b.2.2.45,Bicarbonato,,,,,3.b.2.2.45
3.b.2.2.46,Bilirrubina en orina,,,,,3.b.2.2.46
3.b.2.2.47,Bilirrubinemia total,,,,,3.b.2.2.47
3.b.2.2.48,Bilirrubinemia conjugada,,,,,3.b.2.2.48
3.b.2.2.49,Bilirrubinemia no conjugada,,,,,3.b.2.2.49
3.b.2.2.50,Biopsia de médula ósea,,,,,3.b.2.2.50
3.b.2.3,C,,,,,3.b.2
3.b.2.3.1,C.A. 125 en suero,,,,,3.b.2.3
3.b.2.3.2,C.A. 15.3 en suero,,,,,3.b.2.3
3.b.2.3.3,C.A. 19.9 en suero,,,,,3.b.2.3
3.b.2.3.4,"Cadena Kappa, Estudio en orina de",,,,,3.b.2.3
3.b.2.3.5,"Cadena Lambda, Estudio en orina de",,,,,3.b.2.3
3.b.2.3.6,"Cadena Kappa, Estudio en suero de",,,,,3.b.2.3
3.b.2.3.7,"Cadena Lambda, Estudio en suero de",,,,,3.b.2.3
3.b.2.3.8,Calcemia,,,,,3.b.2.3
3.b.2.3.9,Calcio iónico,,,,,3.b.2.3
3.b.2.3.10,Calcio Prueba de la sobrecarga,,,,,3.b.2.3.10
3.b.2.3.11,Calcitonina plasmática,,,,,3.b.2.3.11
3.b.2.3.12,Calciuria,,,,,3.b.2.3.12
3.b.2.3.13,"Cálculo biliar, estudio químico de",,,,,3.b.2.3.13
3.b.2.3.14,"Cálculo urinario, estudio químico de",,,,,3.b.2.3.14
3.b.2.3.15,Cámara anóxica,,,,,3.b.2.3.15
3.b.2.3.16,Carbamazepina,,,,,3.b.2.3.16
3.b.2.3.17,Carbónico anhídrido pc02,,,,,3.b.2.3.17
3.b.2.3.18,Carga viral HIV,,,,,3.b.2.3.18
3.b.2.3.19,"Cariotipo, mapa cromosómico",,,,,3.b.2.3.19
3.b.2.3.20,Catecolaminas en orina,,,,,3.b.2.3.20
3.b.2.3.21,Catecolaminas en sangre,,,,,3.b.2.3.21
3.b.2.3.22,Catecolaminas libres fraccionadas,,,,,3.b.2.3.22
3.b.2.3.23,CD4,,,,,3.b.2.3.23
3.b.2.3.24,CD8,,,,,3.b.2.3.24
3.b.2.3.25,CEA,,,,,3.b.2.3.25
3.b.2.3.26,Células L.E. en médula,,,,,3.b.2.3.26
3.b.2.3.27,Células L.E. en sangre,,,,,3.b.2.3.27
3.b.2.3.28,Células neoplásicas en expectoración,,,,,3.b.2.3.28
3.b.2.3.29,"Células neoplásicas, líquidos, exudados, trasudados",,,,,3.b.2.3.29
3.b.2.3.30,Cerebrósidos cromatográfico,,,,,3.b.2.3.30
3.b.2.3.31,Ceruloplasmina en sangre,,,,,3.b.2.3.31
3.b.2.3.32,"Cetogenoesteroides, urinarios",,,,,3.b.2.3.32
3.b.2.3.33,Cetonemia,,,,,3.b.2.3.33
3.b.2.3.34,Cetosteroides 17,,,,,3.b.2.3.34
3.b.2.3.35,Cetoesteroides neutros totales,,,,,3.b.2.3.35
3.b.2.3.36,"17 cetoesteroides, Prueba o respuesta de los, a la estimulación con ACTH",,,,,3.b.2.3.36
3.b.2.3.37,"17 cetoesteroides, Prueba o respuesta de los, a la inhibición con dexametasona",,,,,3.b.2.3.37
3.b.2.3.38,"17 cetoesteroides, Prueba o respuesta de los, a la inhibición con dexametasona y estimulación con gonadotrofinas coriónicas",,,,,3.b.2.3.38
3.b.2.3.39,"17 cetoesteroides y 17 hidroxicorticoides, Prueba o respuesta de los, a la estimulación con acth",,,,,3.b.2.3.39
3.b.2.3.40,Ciclosporina,,,,,3.b.2.3.40
3.b.2.3.41,Citograma de nódulo subcutáneo,,,,,3.b.2.3.41
3.b.2.3.42,Citograma ganglionar,,,,,3.b.2.3.42
3.b.2.3.43,Citograma mamario,,,,,3.b.2.3.43
3.b.2.3.44,Citograma parotídeo,,,,,3.b.2.3.44
3.b.2.3.45,Citograma tiroideo,,,,,3.b.2.3.45
3.b.2.3.46,Citología clínica,,,,,3.b.2.3.46
3.b.2.3.47,Citología oncológica endometrial,,,,,3.b.2.3.47
3.b.2.3.48,Citomegalovirus antigenemia,,,,,3.b.2.3.48
3.b.2.3.49,Citomegalovirus en orina,,,,,3.b.2.3.49
3.b.2.3.50,"Citomegalovirus, Investigación de Ac.",,,,,3.b.2.3.50
3.b.2.3.51,Citomegalovirus anticuerpo igG,,,,,3.b.2.3.51
3.b.2.3.52,Citomegalovirus anticuerpo igM,,,,,3.b.2.3.52
3.b.2.3.53,Citoquímico de L.C.R.,,,,,3.b.2.3.53
3.b.2.3.54,Citoquímico de líquido pericárdico,,,,,3.b.2.3.54
3.b.2.3.55,Citoquímico de líquido peritoneal,,,,,3.b.2.3.55
3.b.2.3.56,Citoquímico de líquido pleural,,,,,3.b.2.3.56
3.b.2.3.57,Citoquímico de líquido sinovial,,,,,3.b.2.3.57
3.b.2.3.58,Citraturia,,,,,3.b.2.3.58
3.b.2.3.59,"Cítrico, ácido",,,,,3.b.2.3.59
3.b.2.3.60,C.K.,,,,,3.b.2.3.60
3.b.2.3.61,C.K.M.B.,,,,,3.b.2.3.61
3.b.2.3.62,CK masa,,,,,3.b.2.3.62
3.b.2.3.63,Clasificación leucocitaria,,,,,3.b.2.3.63
3.b.2.3.64,Clearence de creatinina,,,,,3.b.2.3.64
3.b.2.3.65,Clonazepán,,,,,3.b.2.3.65
3.b.2.3.66,Cloro plasmático,,,,,3.b.2.3.66
3.b.2.3.67,Cloruria,,,,,3.b.2.3.67
3.b.2.3.68,Cloruros (en NaCl),,,,,3.b.2.3.68
3.b.2.3.69,"Coagulación y sangría, Tiempo de",,,,,3.b.2.3.69
3.b.2.3.70,"Coágulo, retracción del",,,,,3.b.2.3.70
3.b.2.3.71,Coagulograma básico,,,,,3.b.2.3.71
3.b.2.3.72,Cocaína en orina,,,,,3.b.2.3.72
3.b.2.3.73,Cofactor de la ristocetina,,,,,3.b.2.3.73
3.b.2.3.74,Colesterol total,,,,,3.b.2.3.74
3.b.2.3.75,Colesterol HDL,,,,,3.b.2.3.75
3.b.2.3.76,Colesterol LDL,,,,,3.b.2.3.76
3.b.2.3.77,Colinesterasa,,,,,3.b.2.3.77
3.b.2.3.78,Colpocitología hormonal,,,,,3.b.2.3.78
3.b.2.3.79,Colpocitología oncológica,,,,,3.b.2.3.79
3.b.2.3.80,Compatibilidad rhogam sangre materna. Incluye determinación de Du y Coombs indirecta,,,,,3.b.2.3.80
3.b.2.3.81,"Compatibilidad sanguínea matrimonial, 2 grupos sistema ABO y 2 genotipos sistema rh",,,,,3.b.2.3.81
3.b.2.3.82,Complejos inmunocirculantes,,,,,3.b.2.3.82
3.b.2.3.83,Complementemia (ch 100),,,,,3.b.2.3.83
3.b.2.3.84,Complemento actividad total,,,,,3.b.2.3.84
3.b.2.3.85,Complemento hemolítico 50 (CH50),,,,,3.b.2.3.85
3.b.2.3.86,Concentración de la hemoglobina CM,,,,,3.b.2.3.86
3.b.2.3.87,Concentración de líquidos biológicos,,,,,3.b.2.3.87
3.b.2.3.88,"Concentración, Prueba de la función renal",,,,,3.b.2.3.88
3.b.2.3.89,Confirmatorio hepatitis C,,,,,3.b.2.3.89
3.b.2.3.90,Control Bacteriológico,,,,,3.b.2.3.90
3.b.2.3.91,"Coombs Directo, Test de",,,,,3.b.2.3.91
3.b.2.3.92,"Coombs Indirecto, Test de",,,,,3.b.2.3.92
3.b.2.3.93,Coombs indirecta cualitativa,,,,,3.b.2.3.93
3.b.2.3.94,Coombs indirecta cuantitativa,,,,,3.b.2.3.94
3.b.2.3.95,Coprobacteriológico,,,,,3.b.2.3.95
3.b.2.3.96,Coprocultivo,,,,,3.b.2.3.96
3.b.2.3.97,Coprofuncional,,,,,3.b.2.3.97
3.b.2.3.98,Coproparasitario,,,,,3.b.2.3.98
3.b.2.3.99,Coproporfirinas,,,,,3.b.2.3.99
3.b.2.3.100,"Cortisol en suero, dosificación de",,,,,3.b.2.3.100
3.b.2.3.101,Cortisol ritmo,,,,,3.b.2.3.101
3.b.2.3.102,Cortisoluria,,,,,3.b.2.3.102
3.b.2.3.103,Cortisol en saliva,,,,,3.b.2.3.103
3.b.2.3.104,Cortisol con estimulo de ACTH,,,,,3.b.2.3.104
3.b.2.3.105,Crasis sanguínea,,,,,3.b.2.3.105
3.b.2.3.106,Creatininemia,,,,,3.b.2.3.106
3.b.2.3.107,Creatininuria,,,,,3.b.2.3.107
3.b.2.3.108,Creatinina clearence de depuración,,,,,3.b.2.3.108
3.b.2.3.109,Creatinfosfokinasa o CPK o CK,,,,,3.b.2.3.109
3.b.2.3.110,CPK-MB o CK-MB,,,,,3.b.2.3.110
3.b.2.3.111,Crioaglutininas,,,,,3.b.2.3.111
3.b.2.3.112,Criofibrinógeno,,,,,3.b.2.3.112
3.b.2.3.113,Crioglobulinas,,,,,3.b.2.3.113
3.b.2.3.114,Cromatina sexual,,,,,3.b.2.3.114
3.b.2.3.115,"Cryptosporidium en Materias Fecales, Investigación de",,,,,3.b.2.3.115
3.b.2.3.116,"Cryptosporidium, Antígeno",,,,,3.b.2.3.116
3.b.2.3.117,Cuerpos Cetónicos en Orina,,,,,3.b.2.3.117
3.b.2.3.118,Cuerpos Cetónicos en Sangre,,,,,3.b.2.3.118
3.b.2.3.119,Cuerpos Reductores en Materias Fecales,,,,,3.b.2.3.119
3.b.2.3.120,Cupremia,,,,,3.b.2.3.120
3.b.2.3.121,Cupruria,,,,,3.b.2.3.121
3.b.2.3.122,Curva de glicemia,,,,,3.b.2.3.122
3.b.2.3.123,Curva de insulina,,,,,3.b.2.3.123
3.b.2.3.124,Curva de insulina (basal y post carga),,,,,3.b.2.3.124
3.b.2.4,CH,,,,,3.b.2
3.b.2.4.1,Chagas (elisa),,,,,3.b.2.4
3.b.2.4.2,Chagas (inmunofluor. Indirecta),,,,,3.b.2.4
3.b.2.4.3,"Chagas, Investigación de Ac. IgG",,,,,3.b.2.4
3.b.2.4.4,"Chagas, Investigación de Ac. IgM",,,,,3.b.2.4
3.b.2.4.5,"Chagas, Investigación de Ac.",,,,,3.b.2.4
3.b.2.4.6,Chagas aglutinación directa,,,,,3.b.2.4
3.b.2.4.7,Chagas fijación de complemento,,,,,3.b.2.4
3.b.2.4.8,Chagas reacción del látex,,,,,3.b.2.4
3.b.2.4.9,Chlamydias por inmunoenzimo análisis,,,,,3.b.2.4
3.b.2.4.10,"Chlamydia en Exudado Endocervical, Investigación de",,,,,3.b.2.4.10
3.b.2.4.11,"Chlamydia en Exudado Uretral, Investigación de",,,,,3.b.2.4.11
3.b.2.5,D,,,,,3.b.2
3.b.2.5.1,Davidson diferencial Prueba,,,,,3.b.2.5
3.b.2.5.2,D.H.E.A.-S04,,,,,3.b.2.5
3.b.2.5.3,D´Dímeros,,,,,3.b.2.5
3.b.2.5.4,Deoxipiridinolina en orina –DPD,,,,,3.b.2.5
3.b.2.5.5,Deshidrogenasa láctica,,,,,3.b.2.5
3.b.2.5.6,"Dilución, Prueba de la función renal",,,,,3.b.2.5
3.b.2.5.7,Difenilhidantoinemia,,,,,3.b.2.5
3.b.2.5.8,Digoxinemia,,,,,3.b.2.5
3.b.2.5.9,Drogas de abuso screening,,,,,3.b.2.5
3.b.2.6,E,,,,,3.b.2
3.b.2.6.1,Electroforesis de hemoglobina,,,,,3.b.2.6
3.b.2.6.2,"Embarazo, reacción inmunológica para",,,,,3.b.2.6
3.b.2.6.3,Enzimograma cardíaco,,,,,3.b.2.6
3.b.2.6.4,Enzimograma hepático,,,,,3.b.2.6
3.b.2.6.5,Enzimograma muscular,,,,,3.b.2.6
3.b.2.6.6,Eosinofilia en expectoración,,,,,3.b.2.6
3.b.2.6.7,Eosinofilia en exudado faríngeo,,,,,3.b.2.6
3.b.2.6.8,Eosinofilia en sangre,,,,,3.b.2.6
3.b.2.6.9,"Eritroblastos, porcentaje de",,,,,3.b.2.6
3.b.2.6.10,Eritrosedimentación,,,,,3.b.2.6.10
3.b.2.6.11,Espátula  adhesiva,,,,,3.b.2.6.11
3.b.2.6.12,Espermograma,,,,,3.b.2.6.12
3.b.2.6.13,Espermocultivo,,,,,3.b.2.6.13
3.b.2.6.14,Estearasa leucocitaria,,,,,3.b.2.6.14
3.b.2.6.15,Esteatocrito en materias fecales,,,,,3.b.2.6.15
3.b.2.6.16,Esterasas inespecíficas,,,,,3.b.2.6.16
3.b.2.6.17,Estradiol plasmático,,,,,3.b.2.6.17
3.b.2.6.18,Estriol plasmático,,,,,3.b.2.6.18
3.b.2.6.19,"Estriol libre, dosificación de",,,,,3.b.2.6.19
3.b.2.6.20,Estriol urinario,,,,,3.b.2.6.20
3.b.2.6.21,Estrógenos totales,,,,,3.b.2.6.21
3.b.2.6.22,Etanol en sangre,,,,,3.b.2.6.22
3.b.2.6.23,"Euglobulinas, test de",,,,,3.b.2.6.23
3.b.2.6.24,Evaluación del sistema inmune,,,,,3.b.2.6.24
3.b.2.6.25,Exudado nasofaríngeo investigación de loefler,,,,,3.b.2.6.25
3.b.2.7,F,,,,,3.b.2
3.b.2.7.1,Factor de coagulación II,,,,,3.b.2.7
3.b.2.7.2,Factor de coagulación V,,,,,3.b.2.7
3.b.2.7.3,Factor V de Leyden,,,,,3.b.2.7
3.b.2.7.4,Factor de coagulación VII,,,,,3.b.2.7
3.b.2.7.5,Factor de coagulación VIII,,,,,3.b.2.7
3.b.2.7.6,Factor de coagulación IX,,,,,3.b.2.7
3.b.2.7.7,Factor IX antígeno,,,,,3.b.2.7
3.b.2.7.8,Factor de coagulación X,,,,,3.b.2.7
3.b.2.7.9,Factor de coagulación XI,,,,,3.b.2.7
3.b.2.7.10,Factor de coagulación XII,,,,,3.b.2.7.10
3.b.2.7.11,Factor de coagulación XIII,,,,,3.b.2.7.11
3.b.2.7.12,Factor de von Willebrand,,,,,3.b.2.7.12
3.b.2.7.13,Factor plaquetario 3,,,,,3.b.2.7.13
3.b.2.7.14,Factor plaquetario 4,,,,,3.b.2.7.14
3.b.2.7.15,Factor reumatoideo,,,,,3.b.2.7.15
3.b.2.7.16,Factor tisular,,,,,3.b.2.7.16
3.b.2.7.17,"Falciformación, Estudio de (Cámara Anóxica)",,,,,3.b.2.7.17
3.b.2.7.18,Fenilalanina en sangre,,,,,3.b.2.7.18
3.b.2.7.19,Fenilcetonuria,,,,,3.b.2.7.19
3.b.2.7.20,Fenilpirúvico ácido cuantitativo en orina,,,,,3.b.2.7.20
3.b.2.7.21,Fenitoína,,,,,3.b.2.7.21
3.b.2.7.22,Fenobarbital,,,,,3.b.2.7.22
3.b.2.7.23,Fenotiazinas,,,,,3.b.2.7.23
3.b.2.7.24,Ferritina,,,,,3.b.2.7.24
3.b.2.7.25,"Fibrina, productos de degradación – PDF -",,,,,3.b.2.7.25
3.b.2.7.26,Fibrinógeno,,,,,3.b.2.7.26
3.b.2.7.27,Fiebre Q,,,,,3.b.2.7.27
3.b.2.7.28,"Físico químico examen líq., exudados, trasudados.",,,,,3.b.2.7.28
3.b.2.7.29,Fluoremia,,,,,3.b.2.7.29
3.b.2.7.30,Fluoruria,,,,,3.b.2.7.30
3.b.2.7.31,Fluoxetina,,,,,3.b.2.7.31
3.b.2.7.32,Fórmula leucocitaria,,,,,3.b.2.7.32
3.b.2.7.33,Fosfatasa ácida prostática,,,,,3.b.2.7.33
3.b.2.7.34,Fosfatasa ácida total,,,,,3.b.2.7.34
3.b.2.7.35,Fosfatasa alcalina,,,,,3.b.2.7.35
3.b.2.7.36,Fosfatasa alcalina leucocitaria en médula ósea,,,,,3.b.2.7.36
3.b.2.7.37,Fosfatasa alcalina leucocitaria en sangre,,,,,3.b.2.7.37
3.b.2.7.38,Fosfatasa alcalina termoestable,,,,,3.b.2.7.38
3.b.2.7.39,Fosfatasa alcalina – isoenzimas,,,,,3.b.2.7.39
3.b.2.7.40,Fosfatemia,,,,,3.b.2.7.40
3.b.2.7.41,Fosfaturia,,,,,3.b.2.7.41
3.b.2.7.42,Fósforo clearence depuración,,,,,3.b.2.7.42
3.b.2.7.43,Fragilidad osmótica,,,,,3.b.2.7.43
3.b.2.7.44,Fragmento FAB FC,,,,,3.b.2.7.44
3.b.2.7.45,Fragmento 1+2 de la protrombina,,,,,3.b.2.7.45
3.b.2.7.46,F.S.H. (Hormona folículo estimulante),,,,,3.b.2.7.46
3.b.2.7.47,FTA-Abs IgG total en sangre,,,,,3.b.2.7.47
3.b.2.7.48,FTA-Abs IgM en sangre,,,,,3.b.2.7.48
3.b.2.7.49,FTA-Abs IgG total en LCR,,,,,3.b.2.7.49
3.b.2.7.50,FTA-Abs IgM en LCR,,,,,3.b.2.7.50
3.b.2.7.51,FTA/ABS inmunofluorescencia,,,,,3.b.2.7.51
3.b.2.7.52,Funcional hepático,,,,,3.b.2.7.52
3.b.2.7.53,Funcional examen materia fecal,,,,,3.b.2.7.53
3.b.2.7.54,Funcionalidad plaquetaria,,,,,3.b.2.7.54
3.b.2.8,G,,,,,3.b.2
3.b.2.8.1,Galactosemia,,,,,3.b.2.8
3.b.2.8.2,Galactosuria,,,,,3.b.2.8
3.b.2.8.3,Gamma Glutamil transpeptidasa (Gamma GT),,,,,3.b.2.8
3.b.2.8.4,Gasometría,,,,,3.b.2.8
3.b.2.8.5,Gasometría venosa,,,,,3.b.2.8
3.b.2.8.6,Gastrina plasmática,,,,,3.b.2.8
3.b.2.8.7,Gentamicina en suero,,,,,3.b.2.8
3.b.2.8.8,GLDH,,,,,3.b.2.8
3.b.2.8.9,Glicemia,,,,,3.b.2.8
3.b.2.8.10,Glicemia curva de,,,,,3.b.2.8.10
3.b.2.8.11,Glicemia pre y post prandial,,,,,3.b.2.8.11
3.b.2.8.12,"Glóbulos blancos, recuento y clasificación",,,,,3.b.2.8.12
3.b.2.8.13,Glóbulos rojos recuento,,,,,3.b.2.8.13
3.b.2.8.14,"Glucagón, test del",,,,,3.b.2.8.14
3.b.2.8.15,Glucosa 6 fosfato deshidrogenasa,,,,,3.b.2.8.15
3.b.2.8.16,Glucosa 6-fosfato,,,,,3.b.2.8.16
3.b.2.8.17,Glucosuria,,,,,3.b.2.8.17
3.b.2.8.18,Glutamato dehidrogenasa,,,,,3.b.2.8.18
3.b.2.8.19,Gonadotrofina coriónica (sub unidad beta) en orina,,,,,3.b.2.8.19
3.b.2.8.20,Gonadotrofina coriónica (sub unidad beta) en sangre,,,,,3.b.2.8.20
213.b.2.8.,Gonadotrofina coriónica (sub unidad beta) en la embarazada,,,,,213.b.2.8.
3.b.2.8.22,Gota gruesa,,,,,3.b.2.8.22
3.b.2.8.23,G.O.T./ASAT,,,,,3.b.2.8.23
3.b.2.8.24,G.P.T./ALAT,,,,,3.b.2.8.24
3.b.2.8.25,Graham test,,,,,3.b.2.8.25
3.b.2.8.26,Grasas materia fecal cuantitativo,,,,,3.b.2.8.26
3.b.2.8.27,Grupo sanguíneo y factor rh,,,,,3.b.2.8.27
3.b.2.9,H,,,,,3.b.2
3.b.2.9.1,"Hantavirus, serologia",,,,,3.b.2.9
3.b.2.9.2,Haptoglobina,,,,,3.b.2.9
3.b.2.9.3,HDL Colesterol,,,,,3.b.2.9
3.b.2.9.4,"Heins, cuerpos de",,,,,3.b.2.9
3.b.2.9.5,Helicobacter pylori IgG,,,,,3.b.2.9
3.b.2.9.6,Helicobacter pylori IgM,,,,,3.b.2.9
3.b.2.9.7,"Hematíes, resistencia globular osmótica",,,,,3.b.2.9
3.b.2.9.8,Hematocrito,,,,,3.b.2.9
3.b.2.9.9,Hemoaglutinógenos,,,,,3.b.2.9
3.b.2.9.10,Hemocultivo,,,,,3.b.2.9.10
3.b.2.9.11,Hemoglobina,,,,,3.b.2.9.11
3.b.2.9.12,Hemoglobina electroforesis,,,,,3.b.2.9.12
3.b.2.9.13,Hemoglobina en plasma,,,,,3.b.2.9.13
3.b.2.9.14,Hemoglobina alcali resistente,,,,,3.b.2.9.14
3.b.2.9.15,Hemoglobina glicosilada o HbA1C,,,,,3.b.2.9.15
3.b.2.9.16,Hemoglobinuria,,,,,3.b.2.9.16
3.b.2.9.17,Hemoglobinuria paroxística nocturna,,,,,3.b.2.9.17
3.b.2.9.18,Hemograma completo,,,,,3.b.2.9.18
3.b.2.9.19,Hemolisinas en caliente,,,,,3.b.2.9.19
3.b.2.9.20,Hemolisinas en frío,,,,,3.b.2.9.20
3.b.2.9.21,Hemólisis A.I.,,,,,3.b.2.9.21
3.b.2.9.22,Hemosiderina,,,,,3.b.2.9.22
3.b.2.9.23,"Hepatitis virus A, IgG Ac.",,,,,3.b.2.9.23
3.b.2.9.24,"Hepatitis virus A, IgM Ac.",,,,,3.b.2.9.24
3.b.2.9.25,"Hepatitis virus B, Anti Core IgG",,,,,3.b.2.9.25
3.b.2.9.26,"Hepatitis virus B, Anti Core IgM",,,,,3.b.2.9.26
3.b.2.9.27,Hepatitis virus B (Anti Hbe),,,,,3.b.2.9.27
3.b.2.9.28,Hepatitis virus B (Anti HBs Ag),,,,,3.b.2.9.28
3.b.2.9.29,Hepatitis virus B (Hbe Ag),,,,,3.b.2.9.29
3.b.2.9.30,Hepatitis virus B (HBs Ag),,,,,3.b.2.9.30
3.b.2.9.31,"Hepatitis virus C, Ac. Anti",,,,,3.b.2.9.31
3.b.2.9.32,"Herpes Simplex 1, Investigación de Ac. IgM",,,,,3.b.2.9.32
3.b.2.9.33,"Herpes Simplex 2, Investigación de Ac. IgG",,,,,3.b.2.9.33
3.b.2.9.34,"Herpes Simplex 2, Investigación de Ac. IgM",,,,,3.b.2.9.34
3.b.2.9.35,"Hidatidosis, Estudio inmunológico de",,,,,3.b.2.9.35
3.b.2.9.36,Hidatidosis-arco 5,,,,,3.b.2.9.36
3.b.2.9.37,Hidatidosis hemoaglutinación,,,,,3.b.2.9.37
3.b.2.9.38,Hidatidosis test del látex,,,,,3.b.2.9.38
3.b.2.9.39,17-hidrocorticoides,,,,,3.b.2.9.39
3.b.2.9.40,Hidroxiesteroides,,,,,3.b.2.9.40
3.b.2.9.41,Hidroxindolacético ácido,,,,,3.b.2.9.41
3.b.2.9.42,Hidroxiprolina,,,,,3.b.2.9.42
3.b.2.9.43,"HIV, Anticuerpos anti",,,,,3.b.2.9.43
3.b.2.9.44,"HIV, Carga viral",,,,,3.b.2.9.44
3.b.2.9.45,Hierro,,,,,3.b.2.9.45
3.b.2.9.46,Hisopado rectal,,,,,3.b.2.9.46
3.b.2.9.47,Hisopo tosido,,,,,3.b.2.9.47
3.b.2.9.48,Histoplasmina,,,,,3.b.2.9.48
3.b.2.9.49,"Histoplasmosis, Ac",,,,,3.b.2.9.49
3.b.2.9.50,Homocisteinemia,,,,,3.b.2.9.50
3.b.2.9.51,Hormona de crecimiento (HGH),,,,,3.b.2.9.51
3.b.2.9.52,Hormona de crecimiento basal y post ejercicio,,,,,3.b.2.9.52
3.b.2.9.53,Hormona paratiroidea (PTH),,,,,3.b.2.9.53
3.b.2.9.54,Hubbner test de,,,,,3.b.2.9.54
3.b.2.9.55,Hudleson (Diagnóstico de Brucelosis),,,,,3.b.2.9.55
3.b.2.10,I,,,,,3.b.2.10
3.b.2.10.1,Identificación de anticuerpos inmunes,,,,,3.b.2.10
3.b.2.10.2,Identificación de Dermatofitos,,,,,3.b.2.10
3.b.2.10.3,Identificación de Levaduras,,,,,3.b.2.10
3.b.2.10.4,Identificación serológica de gérmenes,,,,,3.b.2.10
3.b.2.10.5,Ief  por inmunofijación,,,,,3.b.2.10
3.b.2.10.6,Ief histoplasmosis,,,,,3.b.2.10
3.b.2.10.7,IgA en sangre,,,,,3.b.2.10
3.b.2.10.8,IgE total en sangre,,,,,3.b.2.10
3.b.2.10.9,IgG en sangre,,,,,3.b.2.10
3.b.2.10.10,IgM en sangre,,,,,3.b.2.10.10
3.b.2.10.11,IgM Anti HAV,,,,,3.b.2.10.11
3.b.2.10.12,IgM Anti HBC,,,,,3.b.2.10.12
3.b.2.10.13,IGF1,,,,,3.b.2.10.13
3.b.2.10.14,Índice CD4/CD8,,,,,3.b.2.10.14
3.b.2.10.15,Indoxilemia,,,,,3.b.2.10.15
3.b.2.10.16,Inhibidor del Activador Tisular del plasminógeno,,,,,3.b.2.10.16
3.b.2.10.17,Inhibidor Factor VIII,,,,,3.b.2.10.17
3.b.2.10.18,"Inhibidor de factor IX, dosificación de",,,,,3.b.2.10.18
3.b.2.10.19,Inhibidor lúpico,,,,,3.b.2.10.19
3.b.2.10.20,Inhibidores de factores,,,,,3.b.2.10.20
3.b.2.10.21,Inicio de hemólisis,,,,,3.b.2.10.21
3.b.2.10.22,Inmunocomplejos circulantes,,,,,3.b.2.10.22
3.b.2.10.23,Inmunoelectroforesis en sangre,,,,,3.b.2.10.23
3.b.2.10.24,Inmunoelectroforesis en LCR,,,,,3.b.2.10.24
3.b.2.10.25,Inmunoelectroforesis en orina,,,,,3.b.2.10.25
3.b.2.10.26,Inmunofenotipo,,,,,3.b.2.10.26
3.b.2.10.27,"Inmunoglobulinas, dosificación de",,,,,3.b.2.10.27
3.b.2.10.28,Inmunohistoquímica,,,,,3.b.2.10.28
3.b.2.10.29,Insulina basal,,,,,3.b.2.10.29
3.b.2.10.30,Insulinemia post prandial,,,,,3.b.2.10.30
3.b.2.10.31,Inulina clearance,,,,,3.b.2.10.31
3.b.2.10.32,Investigación de BK,,,,,3.b.2.10.32
3.b.2.10.33,Investigación de sangre en materia fecal,,,,,3.b.2.10.33
3.b.2.10.34,Ionograma en orina,,,,,3.b.2.10.34
3.b.2.10.35,Ionograma en plasma,,,,,3.b.2.10.35
3.b.2.10.36,Ionograma con calcio iónico,,,,,3.b.2.10.36
3.b.2.10.37,Isocítrico dehidrogenasa,,,,,3.b.2.10.37
3.b.2.11,J,,,,,3.b.2.11
3.b.2.12,K,,,,,3.b.2.12
3.b.2.12.1,K.P.T.T. (Tiempo parcial de tromboplastina),,,,,3.b.2.12
3.b.2.13,L,,,,,3.b.2.13
3.b.2.13.1,Lactacidemia,,,,,3.b.2.13
3.b.2.13.2,Lámina periférica,,,,,3.b.2.13
3.b.2.13.3,Lamotrigina,,,,,3.b.2.13
3.b.2.13.4,Látex artritis reumatoide,,,,,3.b.2.13
3.b.2.13.5,Látex leptospiras,,,,,3.b.2.13
3.b.2.13.6,Látex trichinosis,,,,,3.b.2.13
3.b.2.13.7,L.D.H.,,,,,3.b.2.13
3.b.2.13.8,LDH isoenzimas,,,,,3.b.2.13
3.b.2.13.9,Leucina Amino Peptidasa (LAP),,,,,3.b.2.13
3.b.2.13.10,Levopromazina,,,,,3.b.2.13.10
3.b.2.13.11,Levulinico dehidratasa,,,,,3.b.2.13.11
3.b.2.13.12,L.H. (Hormona luteinizante),,,,,3.b.2.13.12
